ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2018-03-26,08:00,56.4,56.4,56.4,56.4,320,4
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2018-03-26,08:00,63.04,63.06,63,63.06,314,3
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I","ETF","EUR",2504271,2018-03-26,08:00,113.42,113.42,113.42,113.42,100,1
"LU0411075020","DBPD","XTR.SHORTDAX X2 DA.SW. 1C","ETF","EUR",2504272,2018-03-26,08:00,4.1335,4.1335,4.1295,4.13,102993,8
"LU0838782315","XDDX","XTR.DAX INCOME 1D","ETF","EUR",2504277,2018-03-26,08:00,105.14,105.2,105.14,105.2,239,3
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2018-03-26,08:00,55.65,55.65,55.65,55.65,543,3
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2018-03-26,08:00,8.182,8.21,8.174,8.21,10941,8
"DE000A0F5UE8","EXXU","IS.DJ CHINA OFFS.50 U.ETF","ETF","EUR",2504302,2018-03-26,08:00,47.52,47.52,47.52,47.52,420,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,08:00,36.2,36.24,36.2,36.24,580,5
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2018-03-26,08:00,12.25,12.25,12.25,12.25,1728,3
"DE000A0LR936","ST5","STEICO SE","Common stock","EUR",2504382,2018-03-26,08:00,22.35,22.35,22.35,22.35,334,1
"DE000A0MZ4B0","DLX","DELIGNIT AG      INH.O.N.","Common stock","EUR",2504390,2018-03-26,08:00,10.3,10.3,10.3,10.3,850,1
"DE000A0Q8NC8","ETLX","ETFS DAXGL.G.MIN.GO UC.DZ","ETF","EUR",2504397,2018-03-26,08:00,17.844,17.844,17.838,17.838,3085,5
"DE000A0V9YU8","4RT3","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504421,2018-03-26,08:00,5.8895,5.8895,5.8895,5.8895,0,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,08:00,16.8,16.8,16.75,16.755,3329,8
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,08:00,24.66,24.66,24.52,24.52,11741,29
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,08:00,24.41,24.42,24.41,24.42,695,6
"DE000A1A6V48","KSC","KPS AG NA O.N.","Common stock","EUR",2504441,2018-03-26,08:00,9.15,9.15,9.15,9.15,73,1
